site,da,niche,link_allowed,word_count,submission_page,priority,status,date_contacted,article_sent,published,link_obtained
moroccotourspost.com,30,Morocco & global travel,1-2 do-follow,800-1500,/write-for-us-morocco-travel/,Maroc,draft ready,2026-06-23,,,
moroccotoursagency.com,,Morocco travel (locaux),Oui (+ affilies),600+,/write-for-us/ (partner@moroccotoursagency.com),Maroc,,,,,
hostelworld.com,82,Backpacking (multilingue),,,Guest Bloggers page,Gros,,,,,
edreams.com,70,Travel general,1 do-follow,,Write for Us,Gros,,,,,
theplanetd.com,76,Aventure,1 backlink,~2500,Write for Us,Gros,,,,,
thrillophilia.com,75,Experiences & tips,,1000-1200 + 3 images,Submit a Travel Guest Post,Gros,,,,,
gonomad.com,66,Editorial travel,,1200-2000,Writer Guidelines,Bon,,,,,
practicalwanderlust.com,62,Voyage responsable,1 backlink,,Write for Us,Bon,,,,,
amateurtraveler.com,62,Destinations,1 par 1000 mots,~1000,Guest Post Guidelines,Bon,,,,,
chasingthedonkey.com,59,Mediterranee/Balkans,2 backlinks,,Write for Us,Bon,,,,,
breathedreamgo.com,59,Culture/voyage,1 do-follow,,Work With Us,Bon,,,,,
honeymoonalways.com,54,Lune de miel/couples,do-follow,,Guest Post Submission,Maroc honeymoon,,,,,
epicureanculture.com,54,Food culture durable,,,Contact Page,Food,,,,,
davestravelcorner.com,52,Communaute travel,2 backlinks,,Submission Guidelines,Bon,,,,,
jessieonajourney.com,52,Solo / general,1 par 1000 mots,,Write for Us,Bon,,,,,
lifestyletraveler.co,,Travel lifestyle,Oui,,/write-for-us-submit-a-guest-post/,Facile,,,,,
travelazz.com,,Travel (gratuit editorial),Oui non-spammy,,/write-for-us/,Facile,,,,,
evbeing.com,,Travel,Oui,1200+,/travel-write-for-us/,Facile,,,,,
nomadsworld.com,54,Backpacker (AU/NZ),,,/write-for-us/,Facile,,,,,
traveltalktours.com,,Travel (tours Maroc inclus),1 lien blog,,/write-for-us/,Facile,,,,,
lonelyplanet.com,86,Destinations (pitch paye),,,Writers Guidelines,Gros poisson,,,,,
travelandleisure.com,84,Magazine travel (paye),,,Pitch Guidelines,Gros poisson,,,,,
